,label,area,centroid-0,centroid-1,day,cebp_integrated,gr_integrated,vdr_integrated
11,12,48046,1788,430,-1.0,169853121,319508320,250812305
0,1,49488,984,936,-1.0,260634436,264292275,345908516
1,2,39001,1031,346,-1.0,207097275,221032327,281683558
2,3,32640,1189,1708,-1.0,139919212,115031534,215876208
3,4,49178,1207,1266,-1.0,239137127,229349150,328906125
4,5,44527,1431,1944,-1.0,180321153,176411032,278091876
5,6,40230,1447,117,-1.0,197444867,165367011,271452028
6,7,42453,1568,1068,-1.0,215498169,180133545,274756053
7,8,41173,1631,1767,-1.0,178698817,277271131,260005302
8,9,42791,1786,1479,-1.0,249913890,131205062,268060763
0,1,31647,67,649,-1.0,149947658,105118751,182905749
1,2,50733,98,1530,-1.0,226178780,188269209,272917197
2,3,39246,143,77,-1.0,173821485,133107867,212778632
3,4,20053,123,1992,-1.0,81510766,73798291,106629900
4,5,50186,274,528,-1.0,232710331,305660520,291420392
5,6,55481,277,1740,-1.0,234828249,114181162,323727853
6,7,32925,348,184,-1.0,172542135,115786742,206245133
7,8,42559,410,1212,-1.0,208252408,200313557,253655588
8,9,38194,455,343,-1.0,200812295,194718137,238347965
9,10,36524,588,538,-1.0,201397030,127455846,238665824
10,11,43256,606,1400,-1.0,214203932,217113381,272812300
11,12,31987,808,1503,-1.0,183452328,124113868,230931572
12,13,49169,907,1111,-1.0,296575275,189701185,343554416
13,14,50208,931,461,-1.0,302275170,188539010,323939002
14,15,45202,942,1701,-1.0,210190907,184181972,305525105
15,16,38984,1109,78,-1.0,200495592,238821956,247130869
16,17,45819,1252,1696,-1.0,239298576,169474144,320398279
17,18,47256,1649,237,-1.0,228751556,259021210,272887843
0,1,42721,87,1742,-1.0,199820489,189670023,238251735
1,2,35414,144,1411,-1.0,171595813,160640527,211542370
2,3,47162,188,516,-1.0,275518504,174534402,312185094
3,4,58793,402,776,-1.0,400996673,306421541,427658170
4,5,41884,504,139,-1.0,224797981,137419047,266894423
5,6,41497,608,466,-1.0,230555970,165945324,263280884
6,7,45019,623,1418,-1.0,253951427,198145286,297255794
7,8,32013,772,1678,-1.0,195294358,111961709,220287563
8,9,50923,806,769,-1.0,274952555,237731774,324628736
9,10,38073,981,529,-1.0,235157575,171641543,262265928
10,11,33346,1163,1899,-1.0,192152976,146790725,218944021
11,12,47640,1216,1146,-1.0,282001702,322311626,319915293
12,13,36850,1328,1719,-1.0,178344459,179505505,229777919
13,14,50537,1366,160,-1.0,258828067,255051004,318134567
14,15,39108,1360,1319,-1.0,209695969,201234827,256440639
15,16,32496,1442,841,-1.0,181381235,151972548,216500558
16,17,40513,1595,461,-1.0,236219431,151996904,270198900
17,18,38024,1586,1085,-1.0,199714291,172884075,239036103
18,19,66317,1894,1935,-1.0,353688883,281864747,423995164
0,1,39813,108,1950,-1.0,161319260,155106583,231384148
1,2,26937,152,64,-1.0,154028308,91510885,160466967
2,3,69541,307,838,-1.0,293092141,302111035,405325143
3,4,52266,655,962,-1.0,253212912,279043570,321945454
4,5,39914,683,1469,-1.0,194581359,285217116,249859177
5,6,38418,884,1188,-1.0,214270292,169677161,260731339
6,7,48951,999,1555,-1.0,234266911,226472505,315528396
7,8,34015,1153,397,-1.0,171057908,76280371,208242042
8,9,37091,1178,1014,-1.0,196177056,173278560,251833450
9,10,35834,1201,1839,-1.0,203230064,154261355,246825368
10,11,32721,1215,96,-1.0,151462554,68708846,200267118
11,12,38730,1292,631,-1.0,195841385,141764018,245923817
12,13,81391,1650,1358,-1.0,506882619,297768933,583984812
13,14,38008,1599,1729,-1.0,225284711,129262170,267061500
14,15,36748,1856,81,-1.0,207338999,119069151,255640012
15,16,28010,1976,1527,-1.0,140378906,106294067,189127265
0,1,27040,74,1180,0.0,102087078,64713899,116820924
1,2,34869,205,1020,0.0,93923700,69750976,120712113
2,3,40615,232,1662,0.0,127448237,165409091,162815054
3,4,48984,542,1780,0.0,179973408,170315056,217611627
4,5,72286,733,283,0.0,280627620,716208300,331939130
5,6,38174,715,1232,0.0,141038991,231659977,172870358
6,7,33573,990,1607,0.0,120556308,119904050,138131498
7,8,62118,1038,369,0.0,259390742,493537760,336597700
8,9,79542,1093,888,0.0,314205562,609344783,397331790
9,10,49002,1486,1504,0.0,194773978,398414793,254531972
10,11,44897,1654,1981,0.0,132103439,184002863,168379683
11,12,39310,1584,146,0.0,127414968,224813186,150349494
12,13,29348,1779,806,0.0,70979637,61530354,97851166
0,1,41132,149,1955,0.0,139170475,125001644,112751766
1,2,38455,214,454,0.0,131929386,109705601,106555697
2,3,40162,945,1591,0.0,181924895,135834226,134392698
3,4,37201,1134,1083,0.0,116763204,160129835,103601421
4,5,51498,1230,138,0.0,223239878,237023972,155280465
5,6,40122,1275,1260,0.0,128189326,241171371,113324865
6,7,26632,1604,66,0.0,90594580,106888450,76975318
7,8,37286,1842,883,0.0,163884404,142874553,127021053
8,9,50783,1852,624,0.0,198332163,122320620,142519823
9,10,39452,1970,1505,0.0,138216343,295210103,124355168
0,1,81253,127,481,0.0,243247574,282737224,243085765
1,2,60657,385,1848,0.0,226191635,293794676,242329291
2,3,51626,670,1420,0.0,175424470,182542157,142858506
3,4,43233,791,617,0.0,143900787,149971345,126207409
4,5,38215,1177,991,0.0,135529223,204695933,121018803
5,6,58373,1329,1227,0.0,204283301,464925109,181305509
6,7,33649,1437,913,0.0,128957865,125048916,110075450
7,8,67545,1725,669,0.0,204100525,278582623,205206727
0,1,38615,389,1256,0.0,146715043,264989558,142798433
1,2,39309,419,90,0.0,125917920,128217311,125089711
2,3,37939,485,872,0.0,186780362,173685040,168909456
3,4,70350,591,386,0.0,203094311,319644033,206135201
4,5,40811,778,708,0.0,130124385,286226962,130374875
5,6,73515,1039,1118,0.0,239131403,516345726,247367343
6,7,46839,1287,1901,0.0,153097542,183320555,139849566
7,8,49025,1438,1486,0.0,131366629,234590726,138019794
8,9,36312,1735,1612,0.0,117518976,127888033,118925046
9,10,33507,1833,1373,0.0,113093195,142493580,119032472
10,11,33962,1895,1066,0.0,125203092,132980960,121084907
0,1,27136,307,1462,0.0,65475823,37745527,72959972
1,2,32183,355,1058,0.0,138236106,86846029,114510990
2,3,51708,654,1620,0.0,122547911,150193054,137068685
3,4,78693,836,930,0.0,214305334,205117772,244249618
4,5,44514,852,314,0.0,146568013,137365806,124868839
5,6,38682,1078,1422,0.0,109790925,345780275,99494743
6,7,43065,1223,789,0.0,140408162,178389772,122207039
7,8,44160,1689,1225,0.0,124131863,190518735,109570488
0,1,45791,558,604,0.0,138212268,133904238,114071317
1,2,39637,567,850,0.0,148288863,165604658,106400855
2,3,40498,772,1686,0.0,121067101,182758599,118966958
3,4,34780,1152,80,0.0,115762546,144090778,91930762
4,5,48724,1249,1460,0.0,152652751,287473317,139864756
5,6,49467,1250,996,0.0,151711978,252619048,133399721
6,7,41607,1757,288,0.0,133914315,236097111,124095931
7,8,27494,1940,1981,0.0,76190938,154331285,67907560
0,1,37817,77,407,0.0,93794867,175809228,86165749
1,2,64279,187,1514,0.0,219898428,166147655,156091170
2,3,38607,460,570,0.0,117923131,249606458,102497720
3,4,23189,486,1989,0.0,82692867,66838864,67236208
4,5,38991,1084,1542,0.0,124128594,118482139,108504121
5,6,60532,1215,349,0.0,217957590,196740890,179576850
6,7,28250,1232,1982,0.0,96121446,86826420,82606017
7,8,142111,1467,742,0.0,449525273,634934787,446248273
8,9,42878,1632,1426,0.0,152611320,216659790,121460025
9,10,34807,1957,1933,0.0,99530319,126567504,92833040
0,1,47698,243,1743,0.0,120338204,204282911,99127766
1,2,44263,966,1885,0.0,119023076,146206755,91992624
2,3,40542,1196,1922,0.0,127427192,143266610,92488613
3,4,76926,1325,197,0.0,233738701,388006512,185364209
4,5,69423,1313,820,0.0,239296415,323907819,186282991
5,6,133217,1668,1866,0.0,414190231,586761738,327558197
0,1,74775,173,1889,0.0,193630767,304572684,179686008
1,2,39065,150,466,0.0,128563675,128273734,117463066
2,3,34296,164,847,0.0,108203779,122951164,85477010
3,4,35279,171,1197,0.0,108729677,98689811,86300172
4,5,39935,688,930,0.0,130023958,223279652,107919194
5,6,28448,759,432,0.0,119597155,121339279,94107488
6,7,55275,915,1868,0.0,175574160,108332675,138572313
7,8,33454,901,709,0.0,161802749,154421989,113068781
8,9,28117,996,1522,0.0,67952078,32487165,67782162
9,10,30391,1117,1320,0.0,107789397,83173445,82738751
10,11,55124,1341,1637,0.0,165679083,211848845,139082549
11,12,24378,1445,1444,0.0,72361328,28933710,66067591
12,13,31633,1489,1080,0.0,160174736,212870071,130805608
13,14,38433,1668,915,0.0,136855501,136571148,117844461
14,15,22291,1928,1607,0.0,59151260,28131412,56377040
0,1,59359,95,920,0.0,212779073,410890726,161525832
1,2,47394,177,1608,0.0,153897610,324831776,123143388
2,3,26984,278,1990,0.0,96664451,194886837,77926871
3,4,167726,429,358,0.0,460602737,410464359,475755439
4,5,35958,364,1370,0.0,120139363,178786135,90021184
5,6,29659,700,1519,0.0,103517128,179460740,80804058
6,7,39698,1105,1736,0.0,203466734,130004599,142698025
7,8,21652,1241,1994,0.0,77667722,79037370,60490697
8,9,49234,1296,1432,0.0,156136752,180306989,126215930
9,10,36322,1468,674,0.0,153016311,194487539,119648900
10,11,22532,1700,65,0.0,75681791,117206225,62314150
11,12,35997,1921,890,0.0,146868846,176450918,114931148
0,1,96088,399,1888,0.0,287764024,799194589,262207850
