,Unnamed: 0,label,area,bbox_area,centroid-0,centroid-1,convex_area,eccentricity,equivalent_diameter,extent,local_centroid-0,local_centroid-1,major_axis_length,minor_axis_length,perimeter,solidity,inertia_tensor_eigvals-0,inertia_tensor_eigvals-1,moments_hu-0,moments_hu-1,moments_hu-2,moments_hu-3,moments_hu-4,moments_hu-5,moments_hu-6,in_object
7,9,10,39890,54758,1097,1186,40690,0.7446100420948768,225.3653155201253,0.7284780306073998,106,127,277.1481317630494,184.99630222113774,780.0803025278549,0.9803391496682232,4800.692933734286,2138.976989718409,0.17397016604293547,0.004452411948494062,9.75061874645124e-05,3.6032458317874895e-06,-6.073905915546464e-11,-2.2151288215238663e-07,2.953525948892922e-11,0.0
8,14,15,21423,27976,1999,173,21573,0.9063283644435096,165.1563222128096,0.7657635115813555,59,132,261.89978126971334,110.67207235975474,658.8183258569795,0.9930468641357252,4286.968464320228,765.5192250251744,0.23584407829647586,0.02701980991913676,0.0015503953481583476,0.00012099181453920066,-5.1962709369023076e-08,-1.9750619875177625e-05,-6.777860465162542e-09,0.0
9,15,16,4134,5535,2026,1048,4187,0.9401687411492022,72.55048089389321,0.7468834688346884,23,63,128.587442217503,43.81092064313816,309.13098833543773,0.9873417721518988,1033.4206435024794,119.96229797495934,0.2789992601541942,0.04882435911560416,0.0022068672044220946,0.00021883368800472655,-8.941018199040141e-08,-3.614510597136733e-05,1.2301540346854612e-07,0.0
10,16,17,3298,4712,2031,1741,3378,0.9754024055649688,64.80080260719436,0.6999151103565365,18,74,143.43655901132234,31.61796872684685,327.81727983645294,0.9763173475429248,1285.877903813035,62.48099665074157,0.40884138886106014,0.13760475893969076,0.003909354816280539,0.000432403183893914,-3.6535363188320434e-07,-0.00012697405759520892,4.2729185191562965e-07,0.0
0,2,3,57645,72158,281,820,58498,0.760945567158172,270.9167649966654,0.7988719199534355,109,163,336.69744214991965,218.4545947266864,964.6488450227788,0.9854183048993128,7085.3229718936545,2982.65062232505,0.1746547592023368,0.005065360761589493,3.2192781143871142e-06,1.601050892219818e-07,1.1477723744729297e-13,1.1383219964787225e-08,-6.1926010387850164e-15,1.0
1,3,4,41470,52205,404,1144,41707,0.6697623560323961,229.78521257941554,0.7943683555215018,131,97,266.70369405894365,198.0476313456112,772.6244584051393,0.9943175006593618,4445.678776542915,2451.429017600445,0.1663155966757502,0.002312549436984001,3.376989394814961e-06,8.471786424033819e-08,3.830760964238103e-14,3.277278180044247e-09,2.4204087426464163e-14,1.0
2,4,5,31560,38688,493,86,31730,0.4554378281549513,200.4580754967026,0.81575682382134,103,86,213.0892849973381,189.70648455420417,668.0142853498727,0.9946422943586511,2837.9402112922994,2249.2843926196574,0.16119216108719764,0.0003478955658294639,4.97783344257545e-05,5.266619109966495e-07,-1.059330928914465e-12,-3.908632457191586e-09,2.4798226390119154e-12,1.0
3,5,6,41795,58420,627,596,42080,0.7295324711356337,230.68386760284332,0.7154228004108182,115,125,279.28611892684035,191.01667343653799,787.0924958366746,0.9932271863117872,4875.046014076075,2280.460595672561,0.1712048477030419,0.0038537832687288993,3.441923570516406e-05,1.5179269777767619e-06,1.0943831007074187e-11,9.384448218222194e-08,-7.825793862814379e-13,1.0
4,6,7,37841,47718,717,1918,38096,0.6031500537457172,219.50092849991157,0.7930131187392598,123,98,246.1043208795392,196.2996334292185,739.8965363437815,0.9933063838723224,3785.4585472237,2408.3466302778465,0.16367974359825446,0.0013243819819691932,3.7994342821324845e-05,4.539928614362544e-07,2.232456459135291e-13,1.5925286626058155e-09,1.872265345737534e-12,1.0
5,7,8,81610,109744,761,177,82167,0.688546699088186,322.3493124637256,0.7436397434028283,155,177,378.8965264819738,274.77273148113153,1093.685424949238,0.9932211228352016,8972.661111256568,4718.753372850125,0.1677663826014789,0.002716998365088333,2.435318769696287e-05,4.6681743422706995e-07,-3.1774369953913896e-14,-3.354335346027442e-09,-1.5736567082094159e-12,1.0
