,label,area,centroid-0,centroid-1,day,dapi_integrated,cebp_integrated,ppar_integrated
4,5,43855,1103,879,0.083,157052643,195829835,70096127
5,6,51734,1198,1131,0.083,161445445,194848897,87431616
6,7,38106,1206,1838,0.083,149007850,221097464,63386390
7,8,57069,1544,1393,0.083,256491361,191802539,94158064
0,1,36890,209,494,0.083,135992773,192120843,88387711
1,2,30304,213,76,0.083,105605459,127024334,50209594
2,3,42941,657,591,0.083,142876529,156818155,67209697
3,4,43777,775,1460,0.083,148251762,193417386,68742077
4,5,40887,790,898,0.083,147557114,136025325,56851669
5,6,36441,871,268,0.083,143155921,143925045,61889556
6,7,38694,1011,797,0.083,150499412,131049769,58601710
7,8,40034,1080,372,0.083,151556878,164067545,61462969
8,9,45543,1104,1410,0.083,154109097,207663113,74713849
9,10,40621,1349,1144,0.083,143582934,134704060,66011250
10,11,42212,1845,846,0.083,143324330,166786557,69529252
0,1,53463,107,1877,0.083,248351348,237447685,84667701
1,2,36742,242,1337,0.083,136878139,109685789,56641227
2,3,41721,441,1471,0.083,154728139,155743055,64620189
3,4,41886,515,919,0.083,145736659,168608695,72018572
4,5,32681,630,1924,0.083,136563258,168077414,47340814
5,6,50868,706,1354,0.083,169680195,201217782,101040492
6,7,42096,943,690,0.083,185868195,355621157,90248432
7,8,43015,1015,1712,0.083,167318230,212803684,66572791
8,9,79518,1213,1091,0.083,334201983,292709431,145720137
9,10,36670,1270,1836,0.083,148624288,149523692,56592434
0,1,48276,110,141,0.083,153961728,188526504,86074960
1,2,44238,182,1041,0.083,145559618,151927645,69618182
2,3,40655,203,503,0.083,146005139,196215561,70864588
3,4,41427,190,1577,0.083,141561923,173531008,62152187
4,5,59404,523,1848,0.083,227989152,296973199,146677300
5,6,40636,586,764,0.083,156753443,239234059,82181352
6,7,35685,905,932,0.083,152771051,165437099,59431959
7,8,37916,911,1164,0.083,149036463,141630910,60851608
8,9,40290,962,1827,0.083,143808659,239254742,89140327
9,10,45896,1076,94,0.083,182668616,219968331,80852396
10,11,34990,1143,545,0.083,129189589,156133717,58982185
11,12,47437,1415,1217,0.083,169258504,248953690,89205124
12,13,32325,1443,1816,0.083,129612183,153478395,66731489
13,14,50853,1693,1782,0.083,145427113,246088400,102973493
14,15,29829,1963,117,0.083,107045706,127403078,45313435
0,1,23257,74,77,0.083,75888663,90627726,32719274
1,2,44917,151,1949,0.083,129535739,180166585,70798265
2,3,43807,348,629,0.083,130391512,132368821,72265984
3,4,36753,351,1286,0.083,144232549,213775514,64663604
4,5,51829,898,839,0.083,220714139,389454413,110885275
5,6,71803,960,268,0.083,275415065,308459181,146246323
6,7,36552,1610,290,0.083,130227986,130338083,54194911
7,8,41476,1625,1177,0.083,118996270,202706106,80024290
8,9,48712,1814,641,0.083,137298888,195806752,86417202
0,1,34999,93,1185,0.083,145282555,197417330,57605291
1,2,39030,408,708,0.083,141858477,196721872,89769172
2,3,44818,470,1524,0.083,210532610,222165704,73752773
3,4,27159,576,91,0.083,104240626,133714442,44639822
4,5,36986,700,308,0.083,126374890,140330733,59700013
5,6,36902,913,1085,0.083,149399889,223576489,66604225
6,7,37067,1133,193,0.083,126771484,171903097,64517079
7,8,42982,1128,1815,0.083,167110012,152942154,76094580
8,9,33957,1458,1742,0.083,156313390,146744241,59861242
9,10,39397,1477,448,0.083,135538381,166795289,77249857
10,11,38975,1924,1655,0.083,155610529,198693752,65314761
0,1,39493,145,1076,0.083,158851619,169301876,67075200
1,2,33393,180,1902,0.083,150661609,171851542,51108204
2,3,74179,252,1382,0.083,377700351,416907789,127500915
3,4,34766,315,651,0.083,147269881,176659191,49734674
4,5,33693,581,1680,0.083,158467811,146756144,60588278
5,6,35674,786,1776,0.083,168995237,186649617,60288398
6,7,49569,909,1562,0.083,180979208,208254151,93206284
7,8,40164,1155,1335,0.083,168306653,207963187,81340208
8,9,32318,1171,875,0.083,148571938,180481353,52662125
9,10,35236,1357,1849,0.083,158430921,161282790,71829141
10,11,33533,1507,1203,0.083,147964890,188192327,84646031
11,12,48051,1569,1524,0.083,172506941,196210379,91544800
12,13,39002,1657,1735,0.083,159173932,207788520,76514115
13,14,31262,1966,431,0.083,101262677,129630786,49979884
0,1,42159,281,1257,0.083,205718342,200422602,87103745
1,2,28149,427,1062,0.083,141808678,121406844,50554876
2,3,35585,826,744,0.083,151543258,203704607,75373200
3,4,30420,1051,1330,0.083,166144082,166038975,57819873
4,5,60338,1158,868,0.083,336695651,555518988,112396469
5,6,33324,1428,1614,0.083,152765943,173545406,68123710
6,7,34536,1649,1626,0.083,139031783,173732758,64633490
7,8,44238,1943,1689,0.083,206890711,448241960,112824191
8,9,28214,1960,1424,0.083,109686181,143163546,59355093
0,1,33474,275,1170,0.083,140406578,161614127,64563726
1,2,37034,360,297,0.083,124538642,175798191,73296196
